run_name,source_val_domain,selected_epoch,source_val_macro_f1,target_macro_f1,worst_domain_macro_f1,domain8_macro_f1,metrics_path
wicbr_carat_lodo,9,30,0.8931924204031626,0.8553323547045389,0.5428821643193563,0.5428821643193563,results/widar3_domain8_focus_lodo_d9/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,10,6,0.27906976143519086,0.8114248514175415,0.35927871863047284,0.35927871863047284,results/widar3_domain8_focus_lodo_d10/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,11,22,0.9007437825202942,0.8329188923041025,0.4605669428904851,0.4605669428904851,results/widar3_domain8_focus_lodo_d11/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,12,27,0.9666357636451721,0.8404165705045065,0.4760182996590932,0.4760182996590932,results/widar3_domain8_focus_lodo_d12/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,13,18,0.8360063334306082,0.8136062820752462,0.377230000992616,0.377230000992616,results/widar3_domain8_focus_lodo_d13/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,14,26,0.8852337002754211,0.8487586677074432,0.48024378220240277,0.48024378220240277,results/widar3_domain8_focus_lodo_d14/wicbr_carat_lodo_metrics.json
wicbr_carat_lodo,15,26,0.9165064295132955,0.8210904002189636,0.48898212363322574,0.48898212363322574,results/widar3_domain8_focus_lodo_d15/wicbr_carat_lodo_metrics.json
wicbr_carat_v2_lodo,9,26,0.9077149828275045,0.8132262825965881,0.396137564132611,0.396137564132611,results/widar3_domain8_focus_lodo_d9/wicbr_carat_v2_lodo_metrics.json
wicbr_carat_v2_lodo,10,12,0.2946428656578064,0.8448319633801779,0.5051207393407822,0.5051207393407822,results/widar3_domain8_focus_lodo_d10/wicbr_carat_v2_lodo_metrics.json
wicbr_carat_v2_lodo,11,22,0.9254780610402426,0.8132099509239197,0.4377020796140035,0.4377020796140035,results/widar3_domain8_focus_lodo_d11/wicbr_carat_v2_lodo_metrics.json
wicbr_carat_v2_lodo,12,30,0.960082471370697,0.8792034188906351,0.6034737279017767,0.6034737279017767,results/widar3_domain8_focus_lodo_d12/wicbr_carat_v2_lodo_metrics.json
